Longitude,Latitude,VE  AUS,VN  AUS,σE,σN
177.865,-38.288,1.44,-17.9,0.77,1.3
178.155,-38.27,2.92,-19.47,1.23,1.12
174.029,-41.782,-20.93,-7.51,0.76,0.64
174.171,-41.849,-24.62,-7.97,0.65,0.59
171.65,-42.727,-10.46,-2.26,0.69,0.71
171.144,-42.558,-3.14,-1.59,0.48,0.57
171.492,-42.655,-6.39,-1.04,0.58,0.51
177.82,-38.184,1.73,-17.53,0.58,0.54
175.743,-38.643,-1.72,-0.91,1.84,1.84
175.947,-38.44,6.65,-3.25,0.98,1.36
177.076,-38.028,5.4,-15.82,2.16,1.91
176.977,-38.118,5.99,-15.11,1.66,1.51
177.1,-38.142,3.96,-14.83,1.16,1.2
177.141,-38.11,5.4,-15.97,1.09,1.26
176.737,-38.077,3.33,-9.4,0.87,0.77
175.333,-36.488,0.9,-1.11,0.49,0.61
170.786,-43.186,-15.69,-2.45,1.44,1.35
170.115,-44.811,-30.08,-12.87,1.48,1.4
170.412,-44.945,-29.87,-11.97,1.47,1.54
170.355,-43.307,-10.5,-0.65,0.52,0.58
171.188,-43.483,-27.55,-11.5,0.67,0.73
169.384,-44.382,-26.32,-12.2,0.52,0.5
170.554,-43.855,-26.37,-11.07,0.61,0.6
170.853,-43.634,-27.22,-11.55,0.54,0.53
170.934,-43.696,-28.17,-11.71,0.6,0.45
169.251,-44.195,-21.57,-10.1,0.62,0.81
174.248,-36.452,-0.05,-0.82,0.58,0.47
170.256,-44.56,-29.52,-12.27,1.55,1.41
169.956,-44.616,-29.24,-13.15,1.48,1.25
170.144,-44.577,-31.3,-13.69,1.24,1.44
170.439,-44.636,-30.18,-11.91,1.53,1.39
173.784,-35.408,0.02,-0.17,0.5,0.43
171.022,-44.543,-31.71,-11.8,0.67,0.96
173.669,-41.869,-18.23,-5.46,0.58,0.57
173.08,-41.904,-11.12,-1.14,0.43,0.48
174.006,-41.879,-22.55,-7.65,0.78,0.86
173.889,-41.948,-23.03,-8.75,0.51,0.55
173.075,-42.197,-17.76,-5.11,0.51,0.61
173.014,-42.32,-20.02,-5.93,0.46,0.48
173.434,-42.366,-26.15,-9.38,0.46,0.47
174.47,-35.852,1.77,1.77,1.97,1.9
173.43,-42.39,-26.95,-9.2,0.48,0.5
176.112,-37.733,6.04,-2.23,2.47,1.11
177.063,-38.119,4.7,-15.71,1.13,1.05
173.248,-42.416,-24.9,-8.66,0.44,0.45
173.194,-42.488,-26.02,-9.06,0.45,0.6
173.348,-41.626,-9.54,-0.75,0.48,0.45
173.372,-42.032,-17.96,-5.01,0.5,0.54
174.137,-41.823,-23.67,-8.2,0.6,0.58
172.71,-40.512,-2.73,0.4,0.49,0.54
172.383,-40.688,-2.71,0.52,0.38,0.44
172.108,-41.168,-2.66,-0.22,0.59,0.49
171.942,-41.528,-3.33,-0.09,0.62,0.47
173.579,-41.241,-8.6,-1.23,0.66,0.39
171.122,-44.728,-32.32,-11.71,0.72,0.91
178.27,-38.464,-2.69,-18.95,0.72,0.65
171.355,-42.075,-3.67,-0.4,0.56,0.85
177.958,-38.653,-3.38,-17.76,1.24,1.21
178.025,-38.675,-2.13,-17.93,2.3,1.45
178.064,-38.691,-4.1,-18,0.59,0.79
173.846,-41.513,-12.67,-3.09,1.11,0.78
172.691,-41.109,-4.81,0.23,0.48,0.44
168.696,-45.368,-29.79,-10.47,0.99,1.02
172.782,-41.776,-8.2,0.11,0.51,0.46
173.216,-41.301,-7.14,-0.37,0.38,0.37
172.237,-42.148,-6.15,-0.62,0.46,0.46
168.442,-45.737,-28.64,-10.14,0.79,0.88
168.919,-46.134,-28.16,-11.58,0.78,0.79
173.924,-42.156,-28.56,-10.15,0.47,0.58
171.053,-43.715,-29.3,-11.61,0.58,0.6
171.201,-43.646,-29.69,-11.91,0.63,0.7
172.2,-42.312,-6.88,-0.58,0.58,0.6
168.325,-46.129,-27.88,-9.2,1.08,1.64
176.216,-40.071,-10.51,-9.79,0.69,0.67
170.553,-43.96,-28.42,-11.59,0.59,0.73
172.376,-42.585,-16.81,-6.41,0.66,0.74
169.488,-45.8,-29.16,-11.74,0.79,0.63
169.832,-44.114,-25.33,-11.21,0.69,0.55
170.692,-43.573,-24.79,-10.91,0.75,0.73
170.685,-43.719,-26.66,-11.23,0.56,0.63
170.607,-43.677,-25.53,-11.05,0.54,0.65
170.337,-43.647,-22.99,-9.48,0.52,0.68
175.811,-39.642,-1.95,-5.37,0.99,0.67
171.342,-43.935,-31.31,-11.89,0.63,0.81
170.444,-43.588,-22.91,-10.05,0.54,0.57
176.488,-38.472,1.51,-10.81,1.61,1.82
170.519,-43.581,-23.95,-9.63,0.61,0.59
176.522,-38.956,3.08,-11.79,0.78,0.73
176.535,-38.036,2.14,-8.09,0.98,1.08
176.052,-38.854,1.94,-10.26,1.86,2.41
175.145,-38.315,-0.45,-1.66,0.86,0.62
175.664,-38.267,-2.12,-2.62,0.7,0.93
176.03,-38.388,8.68,-8.43,1.74,1.48
175.901,-38.542,7.94,-2.35,2.58,2.14
175.686,-39.427,-0.69,-4.87,0.61,0.52
175.402,-39.189,0.28,-3.15,0.53,0.67
172.994,-41.124,-4.89,0.1,0.62,0.49
133.886,-23.67,0.15,0.18,0.36,0.29
170.515,-44.548,-30.32,-13.88,1.37,1.23
170.972,-43.473,-25.29,-10.24,0.81,0.72
170.946,-42.726,-3.69,0.12,0.55,0.77
174.834,-36.603,0.6,-0.78,0.34,0.39
177.778,-38.432,1.06,-18.09,0.75,0.9
178.004,-37.574,5.17,-17.32,0.66,0.78
166.609,-46.156,-21.73,-8.28,0.51,0.54
166.615,-45.669,-18.57,-5.73,1.13,1.06
175.493,-41.517,-32.02,-9.66,0.89,0.76
168.304,-46.412,-25.29,-13.23,0.79,0.86
167.327,-46.107,-24.18,-7.62,1.35,1.7
174.866,-41.259,-23.64,-7.71,0.72,0.7
174.906,-41.163,-21.12,-6.28,0.65,0.67
174.913,-41.375,-27.36,-9.32,1.14,1.59
174.878,-41.405,-28.31,-9.64,0.54,0.72
175.261,-40.681,-16.34,-5.12,0.47,0.49
175.448,-40.725,-18.66,-7.77,0.68,0.51
169.23,-43.846,-11.47,-2.38,0.62,0.53
169.208,-43.935,-15.72,-5.29,0.47,0.65
175.675,-40.686,-21.52,-8.71,0.73,0.83
175.758,-40.38,-15.96,-6.92,0.46,0.65
176.483,-39.855,-8.53,-11.58,0.99,0.56
176.162,-40.241,-14.38,-10.24,0.92,0.76
177.46,-38.936,0.08,-18.66,0.56,0.65
177.917,-37.981,4.42,-12.5,0.78,0.73
176.027,-40.145,-11.49,-8.87,0.91,0.98
176.805,-38.815,3.63,-13.39,0.82,0.76
176.536,-38.557,2.76,-10,0.97,0.93
172.682,-41.218,-4.83,0.57,0.54,0.83
172.311,-41.063,-3.53,0.35,0.52,0.43
175.49,-39.953,-5.02,-5.07,1.06,0.61
176.41,-39.534,-2.53,-11.91,0.68,0.73
175.38,-39.554,-0.57,-2.84,0.79,0.75
176.255,-38.169,4.86,-7.44,0.91,0.83
176.17,-38.264,6.49,-6.06,0.83,1.01
174.214,-41.749,-24.94,-7.19,0.58,0.54
171.638,-42.62,-7.13,-1.12,0.58,0.66
174.451,-35.918,0.09,-0.94,0.63,0.47
171.563,-42.782,-11.19,-2.99,0.6,0.49
171.041,-42.835,-5.33,-0.61,0.55,0.49
170.441,-43.032,-5.17,-0.15,1.21,1.17
170.261,-43.108,-3.96,-0.36,0.5,0.46
170.34,-43.227,-6.47,-0.4,0.64,0.52
170.552,-43.147,-7.42,-0.18,0.48,0.51
170.926,-43.099,-13.56,-3.19,0.65,0.51
170.432,-44.435,-30.81,-13.25,1.21,1.54
170.304,-44.422,-30.06,-14.94,1.47,1.65
174.458,-39.74,-3.31,-0.64,1.61,0.78
176.196,-40.869,-27.05,-10.37,0.61,0.69
177.52,-37.925,3.03,-15.63,0.99,1.26
178.281,-37.905,5.96,-18.97,0.63,0.53
172.089,-43.7,-31.68,-11.32,0.78,0.8
178.266,-38.017,6.65,-19.01,0.59,0.55
176.324,-38.549,0.94,-5.82,0.67,0.58
169.75,-46.237,-27.77,-12.37,1.09,1.17
175.715,-40.599,-20.32,-7.66,0.45,0.55
175.204,-38.687,0.91,-2.84,0.87,0.86
175.877,-37.894,0.99,-1.96,0.85,0.59
176.252,-38.13,4.93,-8.11,1.42,1.76
176.373,-38.879,3.71,-10.13,0.54,0.53
175.876,-38.933,2.84,-8.08,1.53,1.33
175.021,-40.872,-17.09,-5.28,0.86,0.61
176.367,-39.607,-3.1,-11.25,0.75,0.7
169.346,-43.983,-18.16,-6.68,0.49,0.56
169.187,-44.111,-20.56,-8.11,0.56,0.53
171.431,-42.738,-7.55,-1.23,0.68,0.58
171.467,-42.742,-8.39,-0.88,0.52,0.59
170.187,-43.367,-7.09,-0.56,0.47,0.67
170.018,-43.464,-9.75,-0.94,0.57,0.78
169.37,-43.765,-9.75,-2.47,0.54,0.7
169.144,-43.943,-12.98,-4.88,0.97,0.7
169.178,-43.969,-17.49,-4.7,0.99,1.12
169.24,-43.961,-17.16,-6.48,0.49,0.54
169.316,-43.956,-16.93,-6.78,0.62,0.48
169.388,-43.972,-19.16,-6.39,0.6,0.73
169.4,-43.999,-21.56,-9.84,0.62,0.6
169.046,-43.861,-8.38,-1.61,0.7,0.62
169.045,-43.88,-9.16,-3.71,0.72,0.65
175.821,-41.033,-27.45,-9.42,0.69,0.9
170.602,-43.509,-22.29,-9.42,0.57,0.6
170.685,-43.426,-21.49,-9.04,0.6,0.71
170.718,-43.331,-19.2,-7.77,0.68,0.62
170.739,-43.261,-17.65,-6.78,0.52,0.75
170.676,-43.303,-18.29,-6.71,0.57,0.62
170.59,-43.291,-14.88,-5.64,0.63,0.57
170.513,-43.379,-18.79,-7.24,0.62,0.81
170.451,-43.394,-17.71,-7.07,0.51,0.81
170.36,-43.366,-13.26,-2.63,0.93,1
170.262,-43.414,-15.59,-4.33,0.57,0.7
170.685,-43.231,-14.52,-3.61,0.53,0.78
170.522,-43.248,-12.02,-0.69,0.5,0.49
170.452,-43.278,-11.84,-0.88,0.54,0.5
170.258,-43.559,-20.91,-6.91,0.53,0.71
170.361,-43.519,-20.28,-8.63,0.54,0.69
171.089,-43.418,-25.44,-10.42,0.63,0.6
170.938,-43.363,-23.23,-9.48,0.62,0.76
170.882,-43.324,-21.71,-9.37,0.62,0.76
170.801,-43.413,-22.91,-9.45,0.71,0.56
170.712,-44.027,-30.13,-12.1,0.55,0.7
170.879,-43.928,-29.93,-11.9,0.58,0.59
171.057,-43.848,-30.07,-11.78,0.6,0.61
171.062,-43.61,-28.51,-10.96,0.54,0.53
170.85,-43.521,-25.21,-10.76,0.58,0.83
170.702,-43.499,-23.7,-10.47,1.17,1.19
170.511,-43.486,-21.16,-8.45,0.69,0.77
170.423,-43.636,-23.49,-9.86,0.56,0.82
171.176,-43.736,-30.21,-12.07,0.6,0.69
170.893,-43.548,-26.22,-11.08,0.58,0.62
169.822,-43.765,-20.19,-7.42,0.58,0.59
169.933,-43.799,-21.68,-6.99,0.66,0.68
169.994,-43.906,-24.1,-10.31,0.58,0.81
170.625,-43.388,-20.13,-7.56,0.62,0.7
170.849,-43.217,-17.98,-6.29,0.6,0.67
171.038,-43.296,-22.23,-9.54,0.67,1.02
170.441,-43.771,-25.56,-10.92,0.61,0.8
170.824,-43.785,-28.3,-11.71,0.53,0.58
170.119,-43.759,-22.56,-9.11,0.48,0.92
170.576,-43.725,-26.07,-10.87,0.55,0.87
172.257,-42.777,-23.13,-9.68,1.62,1.74
174.16,-41.027,-10.32,-1.52,0.5,0.58
175.717,-41.401,-32.56,-9.9,0.43,0.52
175.659,-41.326,-31.73,-10.21,0.5,0.51
175.548,-41.256,-30.67,-10.31,0.47,0.57
175.499,-41.423,-32.43,-9.68,0.51,0.46
175.232,-41.429,-32.14,-9.42,0.46,0.44
174.98,-41.264,-26.37,-7.9,0.75,0.75
175.144,-41.082,-22.77,-7.92,0.63,0.53
175.144,-41.393,-31.26,-9.85,0.54,0.63
171.418,-43.523,-28.56,-11.51,0.58,0.51
171.362,-43.434,-27.79,-10.69,0.77,0.7
171.588,-43.389,-28.42,-10.91,0.91,0.9
171.313,-43.052,-17.66,-7.47,0.77,1.05
171.43,-42.762,-7.94,-0.68,0.56,0.81
171.554,-42.724,-9.18,-1.21,0.71,0.62
171.485,-42.836,-12.56,-3.34,0.65,0.86
171.403,-42.84,-10.7,-2.15,0.55,0.68
171.158,-42.905,-8.85,-1.66,0.69,0.6
171.313,-42.908,-12.7,-2.96,0.67,0.66
176.081,-39.264,0.63,-8.01,0.59,0.58
175.927,-39.225,0.57,-6.42,0.49,0.49
176.379,-39.283,0.91,-11.74,0.53,0.71
176.475,-40.293,-16.07,-13.1,0.53,0.56
177.961,-39.09,-3.81,-18.7,0.8,0.66
176.943,-37.955,7.24,-16.97,1.49,1.45
176.855,-37.989,5.68,-15.89,1.14,1.13
177.344,-38.276,2.93,-15.61,0.83,0.92
175.667,-40.852,-23.4,-10.31,0.57,0.58
175.679,-40.556,-19.06,-8.86,1.33,1.07
175.908,-40.29,-13.82,-8.06,0.45,0.97
175.849,-40.276,-13.49,-7.01,0.75,0.67
175.887,-40.304,-14.25,-7.79,0.59,0.52
175.875,-40.313,-14.92,-8.11,0.6,0.76
175.827,-40.304,-14.08,-7.12,0.58,0.83
176.46,-40.55,-23.41,-11.58,0.72,1.03
176.332,-40.641,-26.1,-10.8,0.44,0.68
176.213,-40.385,-18.13,-11.18,0.65,0.68
175.762,-40.968,-26.59,-10.63,0.53,0.52
175.685,-41.12,-28.74,-10.72,0.49,0.52
175.865,-41.293,-30.8,-10.48,0.49,0.52
175.425,-40.41,-13.17,-4.56,0.44,0.58
175.622,-41.014,-25.94,-10.57,0.46,0.43
174.984,-40.904,-16.43,-4.38,0.44,0.47
175.348,-40.75,-18.13,-6.51,0.48,0.41
175.306,-40.947,-20.74,-8.03,0.46,0.44
174.936,-41.073,-19.27,-5.79,0.51,0.67
176.303,-38.477,-0.3,-7.44,0.79,0.9
176.131,-38.527,3.35,-3.38,2.49,1.89
176.045,-38.543,4.51,-4.55,1.31,1.72
175.758,-38.817,-1.35,-3.84,1.43,1.28
175.394,-38.498,0.51,-3.55,2.09,2.1
171.821,-42.868,-19.39,-6.02,0.66,0.79
171.978,-42.833,-20.64,-6.92,0.68,0.76
171.902,-42.775,-17.57,-5.32,0.66,0.86
176.098,-38.407,6.24,-6.8,0.48,0.46
174.953,-41.02,-17.91,-5.01,1.8,1.8
173.806,-41.745,-17.16,-5.13,0.47,0.48
168.292,-46.585,-25.86,-13.33,0.62,0.74
171.351,-42.806,-8.62,-0.4,0.67,0.81
171.655,-42.835,-16.29,-4.47,0.72,0.78
171.541,-42.649,-6.77,0.03,0.73,0.9
176.753,-38.257,3.63,-11.72,0.73,0.68
175.31,-39.432,-0.64,-2.66,0.63,0.55
176.081,-38.153,3.09,-3.68,1.03,0.68
176.561,-38.408,2.54,-9.63,0.56,0.73
176.522,-38.229,0.04,-6.06,0.77,0.85
175.264,-39.324,-0.53,-2.69,0.93,0.74
133.81,-31.867,0.3,-0.32,0.31,0.3
175.405,-39.361,-3.19,-2.44,1.57,1.87
175.213,-39.057,0.34,-3.11,0.71,0.8
183.434,-43.956,-32.9,0.03,0.45,0.43
175.75,-36.865,1.31,-0.59,0.49,0.54
174.031,-39.058,-0.6,-1.19,0.81,0.84
131.133,-12.844,0.19,0.18,0.38,0.57
174.77,-36.841,1.54,2.2,1.9,2.25
173.374,-42.616,-29.65,-9.37,0.61,0.7
176.085,-39.818,-4.54,-10.1,0.98,0.6
168.127,-44.815,-25.51,-8.41,0.9,0.82
168.162,-44.645,-22.21,-7.39,0.99,0.78
168.014,-44.49,-16.53,-5.65,0.83,0.84
167.646,-44.725,-20.33,-2.52,1.14,1.06
167.319,-44.906,-18.47,-1,2.1,1.94
166.996,-46.142,-22.31,-7.89,1.08,1.76
168.411,-45.091,-29.4,-10.47,1.38,1.08
166.583,-45.937,-19.48,-6.82,1.31,1.33
167.202,-45.895,-23.04,-12.45,1.33,1.9
167.119,-45.706,-21.69,-9.33,1.09,1.99
166.886,-45.834,-22.18,-10.82,1.57,1.43
166.873,-45.703,-20.17,-7.93,1.04,1.38
167.077,-45.52,-20.64,-6.09,1.36,1.54
166.797,-45.443,-20.47,-4.64,1.46,1.44
167.523,-45.025,-23.32,-4.83,1.48,1.28
167.633,-44.868,-17.77,-3.59,2.13,1.93
167.526,-45.115,-21.46,-5.51,1.18,1.75
167.216,-45.268,-19.96,-3.5,1.26,0.89
167.18,-45.343,-21.45,-5.8,1.67,1.16
167.559,-45.402,-23.06,-4.23,1.24,1.33
167.411,-45.46,-22.44,-6.51,1.4,1.23
167.378,-45.693,-24.15,-8.77,1.36,1.82
167.967,-44.997,-30.44,-8.06,1.3,1.16
167.868,-44.785,-25.18,-6.5,0.87,0.95
168.685,-44.272,-17.81,-7.15,1.06,1.12
168.338,-44.229,-9.19,-0.81,0.99,0.98
168.966,-44.167,-19.91,-6.26,0.87,1.01
168.469,-44.644,-23.17,-8.87,1.02,1.17
168.786,-44.498,-23.89,-8.15,1.09,1.34
168.409,-44.873,-26.94,-9.13,1.01,1.27
168.945,-44.872,-27.4,-9.94,0.99,1.01
168.67,-45.043,-27.62,-8.5,1.67,0.95
174.749,-41.178,-18.25,-5.08,1.78,0.89
171.799,-42.788,-16.99,-3.34,1.06,1.11
171.708,-42.669,-8.76,-0.76,0.88,0.76
171.877,-42.693,-12.69,-2.52,0.87,0.87
171.488,-42.919,-16.17,-4.29,0.86,1.26
171.493,-42.996,-18.61,-5.31,0.84,0.92
171.832,-42.607,-8.6,-0.41,0.81,0.84
171.735,-42.711,-10.99,-2.05,0.88,0.84
175.35,-41.204,-29.16,-9.58,0.67,0.7
176.022,-40.302,-17.55,-9.04,0.65,0.69
175.857,-40.682,-23.38,-9.93,0.73,0.74
176.06,-40.714,-25.77,-9.59,0.62,0.71
175.891,-40.883,-25.89,-9.22,0.63,0.61
176.031,-40.886,-25.97,-9.14,0.91,0.84
175.541,-40.921,-23.51,-9.7,0.69,0.6
170.123,-45.566,-27.84,-11.38,0.79,0.81
169.903,-44.938,-28.07,-11.57,0.72,0.78
169.302,-44.749,-26.71,-11,0.73,0.82
167.135,-45.004,-19.05,-0.32,1.64,2.07
172.65,-42.053,-8.63,-0.02,0.67,0.77
176.167,-40.299,-15.73,-11.26,0.98,0.53
169.206,-44.286,-22.22,-10.04,0.81,1.05
170.517,-45.371,-29.45,-13.22,1.05,1.31
170.322,-45.467,-29.9,-14.23,1.08,1.32
170.216,-45.383,-29.05,-13.25,1.37,1.47
170.067,-45.285,-29.19,-13.33,1.39,1.33
169.803,-45.478,-28.88,-13.69,1.11,1.13
169.978,-45.048,-29.32,-13.18,1.12,1.25
169.629,-45.263,-29.3,-13.39,1.2,1.19
169.615,-45.107,-28.96,-12.84,1.03,1.27
169.355,-44.933,-29.04,-13.03,1.06,1.07
169.425,-45.676,-29.16,-13.19,0.96,1.25
169.766,-45.97,-28.8,-13.92,0.96,1.24
175.648,-38.36,0.73,-2.63,1.37,1.19
170.597,-45.884,-29.07,-13.28,0.69,0.82
176.644,-38.608,3.39,-11.01,0.89,0.65
170.048,-45.782,-29.44,-13.29,1.08,1.21
169.17,-45.08,-29.5,-12.68,0.99,1.31
176.163,-38.411,4.19,-7.78,2.02,1.67
174.704,-41.232,-19.47,-5.43,1.84,0.91
175.197,-41.523,-33.26,-9.8,1.16,1.13
175.791,-41.179,-29.3,-11.31,1.05,1.19
175.356,-41.523,-33.59,-9.78,1.42,0.99
175.403,-41.451,-33.73,-10.26,1.03,1.25
175.051,-41.263,-27.24,-9.3,1.38,1.24
175.321,-41.607,-33.61,-10.31,0.98,1.48
175.109,-41.168,-25.36,-9.17,1.83,1.5
176.124,-37.889,3.8,-3.72,1.53,1.22
176.819,-38.114,5.06,-13.54,2.49,1.85
175.798,-38.425,1.4,-3.79,1.53,1.34
175.752,-38.357,2.46,-4.94,1.45,1.15
176.673,-37.862,0.12,-7.86,2.41,2
170.709,-44.52,-31.16,-12.13,0.7,0.84
177.886,-38.635,-0.16,-18.69,0.94,0.81
172.53,-40.827,-2.84,0.25,0.53,0.54
168.786,-44.073,-12.32,-4.46,0.81,1.08
175.109,-37.807,-0.45,-0.92,0.41,0.48
176.727,-39.617,-5.1,-14.02,0.81,0.64
178.303,-37.561,5.11,-17.61,0.49,0.43
147.439,-42.805,0.17,-0.28,0.32,0.42
170.984,-42.713,-3.3,0.4,0.5,0.56
173.534,-42.425,-27.9,-10.18,0.58,0.85
117.097,-20.981,-0.4,0.34,0.33,0.36
173.273,-35.069,-0.64,-0.67,0.68,0.64
169.308,-45.231,-28.14,-11.79,0.79,0.91
172.266,-42.783,-22.19,-9.1,0.58,0.72
172.722,-43.606,-32.07,-11.39,0.48,0.61
174.854,-38.513,-0.14,-0.69,0.5,0.53
175.585,-41.062,-26.31,-10.6,0.5,0.52
168.118,-45.367,-25.67,-11.07,0.8,1.05
172.655,-43.703,-32.09,-10.69,0.48,0.57
170.465,-43.986,-26.86,-10.73,0.47,0.66
173.434,-41.184,-6.55,-0.93,0.97,0.47
166.41,-22.27,0.18,0.24,0.52,0.48
174.118,-39.182,-1.51,-1.05,0.47,0.41
170.511,-45.87,-28.7,-12.08,0.42,0.51
166.681,-46.166,-21.6,-10.86,1.17,1.48
169.816,-43.532,-8.35,-2.08,0.54,0.51
176.081,-38.743,5.06,-6.58,0.7,0.59
148.98,-35.399,-0.15,-0.01,0.35,0.38
148.98,-35.399,0.03,-0.23,0.35,0.36
147.056,-19.269,-0.12,0.19,0.4,0.38
176.261,-37.729,2.56,-1.72,0.49,0.56
175.47,-39.385,-2.69,-1.84,0.61,0.65
170.92,-44.656,-29.75,-12.38,0.64,0.82
174.821,-39.787,-2.98,-2.08,0.9,0.52
174.663,-36.434,-0.92,-0.73,0.92,0.75
171.806,-41.745,-2.62,-0.77,0.57,0.63
174.806,-41.324,-23.81,-7.6,0.49,0.49
177.014,-37.982,2.94,-13.82,0.95,0.96
174.315,-35.804,0.63,-0.14,0.5,0.57
115.347,-29.047,-0.32,0,0.41,0.38
,,,,,
