Longitude,Latitude,VE  AUS,VN  AUS,σE,σN
171.257,-43.196,-21.14,-8.39,0.59,0.52
171.434,-43.114,-21.14,-9.35,0.55,0.66
172.086,-43.223,-29.13,-10.45,0.48,0.57
171.689,-43.113,-23.45,-9.29,0.63,0.67
171.786,-43.036,-23.61,-8.74,0.7,0.74
171.419,-43.386,-26.94,-10.96,0.58,0.48
171.096,-42.996,-11.46,-3.51,0.63,0.76
170.83,-42.953,-5.87,0.06,0.46,0.47
171.013,-42.734,-4.36,0.1,0.48,0.43
172.064,-41.584,-3.55,0.55,0.45,0.45
172.117,-41.729,-4.84,-0.14,0.43,0.48
173.117,-42.926,-31.29,-11.29,0.6,0.92
176.917,-39.479,-4.28,-15.28,0.6,0.47
176.469,-39.688,-4.93,-12.84,0.59,0.49
175.737,-40.849,-24.55,-10.67,0.69,0.67
177.664,-38.3,2.69,-17.59,0.77,0.72
175.746,-38.61,-0.6,-3.77,1.03,0.85
175.796,-38.613,0.21,-2.69,1,0.49
175.805,-38.672,0.59,-2.97,0.82,0.72
175.885,-38.624,2.09,-3.23,0.94,0.65
175.967,-38.644,3.43,-2.39,1.35,1.14
175.957,-38.666,0.66,-0.86,1.07,0.59
175.927,-38.683,1.65,-0.58,1.33,0.88
176.03,-38.657,5.28,-0.17,1.77,1.31
175.997,-38.709,4.06,-1.54,1.29,1.54
176.121,-38.686,-0.38,-2.68,1.28,1.33
176.214,-38.791,4.47,-7.74,0.77,0.79
175.867,-38.502,-0.52,-4.64,1.33,1.18
175.915,-38.616,0.94,-3.2,0.49,0.53
175.657,-38.717,0.18,-3.59,1.37,1.28
176.021,-38.518,4.6,-5.16,1.16,0.76
176.156,-38.521,1.19,-2.89,0.94,0.82
175.986,-38.598,5.16,-3.54,2.56,2.36
176.26,-38.89,3.99,-9.61,0.52,0.66
176.584,-38.286,0.47,-7.78,0.93,1
176.111,-38.365,5.77,-7.57,0.91,0.87
176.221,-38.369,0.77,-7.05,1.02,0.83
176.288,-38.386,0.31,-6.75,0.9,0.87
176.209,-38.442,-0.87,-5.85,0.95,0.69
176.634,-38.485,3.33,-11.17,0.62,0.95
175.636,-38.403,0.59,-4.36,2.26,1.86
176.318,-38.158,1.21,-7.24,0.73,0.8
176.51,-38.831,3.44,-10.82,0.62,0.62
176.517,-38.026,2.84,-2.68,1.24,1.43
176.405,-38.157,3.28,-6.15,0.89,0.97
176.522,-38.173,3.09,-8.49,0.77,1.15
176.641,-38.167,3.35,-9.23,0.69,0.81
176.094,-38.633,-0.94,-4.03,0.55,0.75
176.236,-38.585,1,-6.24,1.26,0.83
175.865,-38.211,1.52,-3.35,1.4,1.26
176.073,-38.048,2,-3.48,0.75,0.9
176.63,-39.179,1.31,-13.45,0.68,0.55
177.178,-38.815,2.32,-17.16,0.8,0.69
176.819,-39.029,1.53,-14.5,0.99,0.59
176.892,-39.234,0.88,-16.76,0.6,0.79
176.644,-38.608,2.77,-11.21,0.97,1.02
177.009,-37.955,5.08,-13.91,1.07,1.18
174.125,-39.043,-1.26,0.3,1.16,0.99
176.703,-38.454,3.97,-10.94,1.01,1.04
175.995,-38.692,2.74,-1.74,1.31,1.44
176.407,-38.272,3.45,-4.64,0.82,0.77
176.468,-38.281,0.09,-6.76,0.55,0.61
176.273,-38.217,3.25,-6.73,0.54,0.49
176.282,-38.249,2.92,-5.45,0.83,0.6
176.346,-38.246,0.21,-6.73,0.74,0.66
176.229,-38.256,6.57,-6.54,0.83,0.71
176.248,-38.306,2.88,-4.6,0.78,0.72
176.278,-38.285,3.05,-3.73,0.72,0.86
176.324,-38.292,1.91,-4.27,0.57,0.73
176.329,-38.264,0.73,-4.42,0.73,0.66
176.428,-38.305,0.46,-6.37,0.68,0.66
176.46,-38.311,0.98,-6.87,0.7,0.62
176.5,-38.318,0.86,-8.02,0.78,0.74
176.502,-38.278,0.78,-7.43,0.46,0.48
176.388,-38.319,0.3,-5.62,0.71,0.63
176.298,-38.233,3.16,-6.02,0.92,0.61
176.321,-38.249,1.2,-6.04,0.65,0.72
171.444,-42.724,-7.12,-0.71,0.54,0.5
171.459,-42.739,-7.55,-0.67,0.57,0.59
171.462,-42.708,-7.83,0.72,1.4,1.17
171.482,-42.745,-8.48,-0.94,0.48,0.56
171.486,-42.733,-8.06,-1.24,0.56,0.53
175.089,-41.105,-24.6,-6.46,2.34,1.42
175.088,-41.106,-22.31,-7.36,0.84,0.61
175.268,-41.16,-25.72,-9.99,0.49,0.48
175.253,-41.152,-24.87,-9.95,0.83,0.67
175.254,-41.14,-25.55,-9.43,0.5,0.4
172.789,-42.401,-17.31,-5.66,0.68,0.57
